"bucket","m_date","users"
0,"1,482,019,200",0
0,"1,482,105,600",1
0,"1,482,192,000",3
0,"1,482,278,400",3
0,"1,482,364,800",2
0,"1,482,451,200",2
0,"1,482,537,600",4
0,"1,482,624,000",2
0,"1,482,710,400",5
0,"1,482,796,800",1
0,"1,482,883,200",1
0,"1,482,969,600",1
0,"1,483,056,000",3
0,"1,483,142,400",4
0,"1,483,228,800",3
0,"1,483,315,200",5
0,"1,483,401,600",4
0,"1,483,488,000",0
0,"1,483,574,400",2
0,"1,483,660,800",1
0,"1,483,747,200",4
0,"1,483,833,600",1
0,"1,483,920,000",0
0,"1,484,006,400",1
0,"1,484,092,800",1
0,"1,484,179,200",5
0,"1,484,265,600",3
0,"1,484,352,000",1
0,"1,484,438,400",3
0,"1,484,524,800",5
0,"1,484,611,200",5
0,"1,484,697,600",1
0,"1,484,784,000",1
0,"1,484,870,400",4
0,"1,484,956,800",2
0,"1,485,043,200",2
0,"1,485,129,600",1
0,"1,485,216,000",4
0,"1,485,302,400",2
0,"1,485,388,800",3
0,"1,485,475,200",4
0,"1,485,561,600",4
0,"1,485,648,000",4
0,"1,485,734,400",1
0,"1,485,820,800",2
0,"1,485,907,200",4
0,"1,485,993,600",1
0,"1,486,080,000",3
0,"1,486,166,400",1
0,"1,486,252,800",9
0,"1,486,339,200",3
0,"1,486,425,600",3
0,"1,486,512,000",3
0,"1,486,598,400",3
0,"1,486,684,800",4
0,"1,486,771,200",4
0,"1,486,857,600",1
0,"1,486,944,000",2
0,"1,487,030,400",5
0,"1,487,116,800",3
0,"1,487,203,200",0
0,"1,487,289,600",5
0,"1,487,376,000",2
0,"1,487,462,400",3
0,"1,487,548,800",4
0,"1,487,635,200",2
0,"1,487,721,600",1
0,"1,487,808,000",2
0,"1,487,894,400",1
0,"1,487,980,800",3
0,"1,488,067,200",3
0,"1,488,153,600",3
0,"1,488,240,000",5
0,"1,488,326,400",3
0,"1,488,412,800",2
0,"1,488,499,200",1
0,"1,488,585,600",4
0,"1,488,672,000",5
0,"1,488,758,400",0
0,"1,488,844,800",4
0,"1,488,931,200",5
0,"1,489,017,600",0
0,"1,489,104,000",3
0,"1,489,190,400",1
0,"1,489,276,800",0
0,"1,489,363,200",2
0,"1,489,449,600",3
0,"1,489,536,000",5
0,"1,489,622,400",5
0,"1,489,708,800",2
0,"1,489,795,200",3
0,"1,489,881,600",1
0,"1,489,968,000",5
0,"1,490,054,400",2
0,"1,490,140,800",1
0,"1,490,227,200",6
0,"1,490,313,600",2
0,"1,490,400,000",5
0,"1,490,486,400",5
0,"1,490,572,800",2
0,"1,490,659,200",7
0,"1,490,745,600",0
0,"1,490,832,000",3
0,"1,490,918,400",3
0,"1,491,004,800",1
0,"1,491,091,200",6
0,"1,491,177,600",5
0,"1,491,264,000",4
0,"1,491,350,400",2
0,"1,491,436,800",3
0,"1,491,523,200",4
0,"1,491,609,600",3
0,"1,491,696,000",6
0,"1,491,782,400",3
0,"1,491,868,800",0
0,"1,491,955,200",3
0,"1,492,041,600",3
0,"1,492,128,000",2
0,"1,492,214,400",2
0,"1,492,300,800",4
0,"1,492,387,200",3
0,"1,492,473,600",0
0,"1,492,560,000",2
0,"1,492,646,400",3
0,"1,492,732,800",1
0,"1,492,819,200",5
0,"1,492,905,600",4
0,"1,492,992,000",3
0,"1,493,078,400",2
0,"1,493,164,800",3
0,"1,493,251,200",2
0,"1,493,337,600",2
0,"1,493,424,000",2
0,"1,493,510,400",4
0,"1,493,596,800",2
0,"1,493,683,200",3
0,"1,493,769,600",3
0,"1,493,856,000",4
0,"1,493,942,400",2
0,"1,494,028,800",0
0,"1,494,115,200",2
0,"1,494,201,600",5
0,"1,494,288,000",0
0,"1,494,374,400",3
0,"1,494,460,800",6
0,"1,494,547,200",1
0,"1,494,633,600",2
