"bucket","m_date","newusers"
1,"1,511,740,800",2
1,"1,511,827,200",2
1,"1,511,913,600",0
1,"1,512,000,000",2
1,"1,512,086,400",1
1,"1,512,172,800",1
1,"1,512,259,200",0
1,"1,512,345,600",0
1,"1,512,432,000",0
1,"1,512,518,400",0
1,"1,512,604,800",0
1,"1,512,691,200",0
1,"1,512,777,600",1
1,"1,512,864,000",1
1,"1,512,950,400",0
1,"1,513,036,800",1
1,"1,513,123,200",0
1,"1,513,209,600",0
1,"1,513,296,000",0
1,"1,513,382,400",0
1,"1,513,468,800",0
1,"1,513,555,200",0
1,"1,513,641,600",0
1,"1,513,728,000",0
1,"1,513,814,400",0
1,"1,513,900,800",0
1,"1,513,987,200",0
1,"1,514,073,600",0
1,"1,514,160,000",0
1,"1,514,246,400",0
1,"1,514,332,800",0
1,"1,514,419,200",0
1,"1,514,505,600",18
