"fsa","userid","fsid","m_date","config_browser","config_browser_name","config_browser_version","config_color_depth","config_device","config_java","config_resolution","config_viewport_size","idsite","location_browser_en","location_browser_lan","location_city_name","location_country_code","location_country_name","location_ipv4","location_ipv6","location_os","location_path","referal_xxx"
"1312324229.1514545561",-1,"467942747.1514545561","1,514,545,562",Firefox,,,"24-bit",Desktop,"0","1920x1080","838x248",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Windows,http://10.88.113.60/,
"2067066631.1514545552",-1,"2117212605.1514545552","1,514,545,553",Firefox,,,"24-bit",Desktop,"0","1920x1080","855x248",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Windows,http://10.88.113.60/,
"1185218531.1514545545",-1,"1353586687.1514545545","1,514,545,546",Firefox,,,"24-bit",Desktop,"0","1920x1080","838x248",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Windows,http://10.88.113.60/,
"127355188.1514546946",-1,"1010762824.1514546946","1,514,546,946",Firefox,,,"24-bit",Desktop,"0","1920x1080","838x381",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Windows,http://10.88.113.60/,
"1684482981.1514545595",-1,"791128147.1514545595","1,514,545,595",Firefox,,,"24-bit",Desktop,"0","1920x1080","838x248",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Windows,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,512,016,164",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt0098695,
"1197758143",-1,"1874673346","1,512,044,988",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,512,720,871",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1280x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,513,108,408",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1280x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,513,667,254",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt6607218,
"1197758143",-1,"1874673346","1,513,676,750",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt1592558,
"1197758143",-1,"1874673346","1,513,684,524",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt0103939,
"1197758143",-1,"1874673346","1,514,006,530",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt1334429,
"1197758143",-1,"1874673346","1,514,455,178",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1280x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,514,455,197",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1280x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,514,455,269",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/,
"1197758143",-1,"1874673346","1,514,455,287",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt1485796,
"1197758143",-1,"1874673346","1,514,455,312",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt1334429,
"1197758143",-1,"1874673346","1,514,455,322",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt0098695,
"1197758143",-1,"1874673346","1,514,455,327",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt0103939,
"1197758143",-1,"1874673346","1,514,455,329",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt6607218,
"1197758143",-1,"1874673346","1,514,455,361",Chrome,,,"24-bit",Desktop,"0.0","1280x1024","1263x893",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.60",,Win,http://10.88.113.60/movies/tt1592558,
"2132129733",-1,"1495875512","1,511,831,361",Firefox,,"1.0","24-bit",Desktop,,"1350x1010","1350x1010",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Win,"10.88.113.111",
"2132129733",-1,"1495875512","1,511,840,669",Firefox,,"1.0","24-bit",Desktop,,"1350x1010","1350x1010",,UTF-8,en-us,Hanoi,VN,Vietnam,"10.88.113.111",,Win,"10.88.113.111",
