fsa	userid	fsid	m_date	config_browser	config_browser_name	config_browser_version	config_color_depth	config_device	config_java	config_resolution	config_viewport_size	idsite	location_browser_en	location_browser_lan	location_city_name	location_country_code	location_country_name	location_ipv4	location_ipv6	location_path	referal_xxx
1912978767	-1	1185883910	1514346998	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt2527336	
1912978767	-1	1185883910	1514347001	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt2527336	
1912978767	-1	1185883910	1514347041	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt2527336	
1912978767	-1	1185883910	1514347050	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0295630	
1912978767	-1	1185883910	1514347071	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0361243	
1912978767	-1	1185883910	1514347077	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0390733	
1912978767	-1	1185883910	1514347083	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0061237	
1912978767	-1	1185883910	1514347088	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt5075942	
1912978767	-1	1185883910	1514347093	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0278238	
1912978767	-1	1185883910	1514347101	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0295630	
1912978767	-1	1185883910	1514347112	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt2013538	
1912978767	-1	1185883910	1514347131	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0301146	
1912978767	-1	1185883910	1514347135	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0182647	
1912978767	-1	1185883910	1514347141	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0379563	
1912978767	-1	1185883910	1514347146	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0182647	
1912978767	-1	1185883910	1514347151	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0088587	
1912978767	-1	1185883910	1514347155	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt0380400	
1912978767	-1	1185883910	1514347159	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt2535834	
1912978767	-1	1185883910	1514347166	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt7222086	
1912978767	-1	1185883910	1514347183	Chrome			24-bit	Desktop	0	1920x1080	150x945		UTF-8	en-us	Hanoi	VN	Vietnam	10.88.113.111		http://10.88.113.60/movies/tt3883968	
