2017-12-11,72
2017-12-10,11
2017-12-09,0
2017-12-08,34
2017-12-07,16
2017-12-06,85
2017-12-05,0
2017-12-04,0
2017-12-03,40
2017-12-02,40
2017-12-01,44
2017-11-30,35
2017-11-29,73
2017-11-28,54
2017-11-27,57
2017-11-26,71
2017-11-25,0
2017-11-24,45
2017-11-22,55
2017-11-21,94
2017-11-20,2
2017-11-19,27
2017-11-18,30
2017-11-17,86
2017-11-16,44
2017-11-15,44
2017-11-14,98
2017-11-13,34
2017-11-12,22
2017-11-11,86
2017-11-10,93
2017-11-09,19
2017-11-08,94
2017-11-07,56
2017-11-06,41
2017-11-05,17
2017-11-04,28
2017-11-03,28
2017-11-01,86
2017-10-31,15
2017-10-28,17
2017-10-27,74
2017-10-26,98
2017-10-25,25
2017-10-24,9
2017-10-23,77
2017-10-22,27
2017-10-21,46
2017-10-19,8
2017-10-18,13
2017-10-17,60
2017-10-16,70
2017-10-15,64
2017-10-14,61
2017-10-13,0
2017-10-12,0
2017-10-11,0
2017-10-10,9
2017-10-09,51
2017-10-08,20
2017-10-07,49
2017-10-06,16
2017-10-05,91
2017-10-04,6
2017-10-03,15
2017-10-02,49
2017-10-01,79
2017-09-30,52
2017-09-29,60
2017-09-28,28
2017-09-27,30
2017-09-26,20
2017-09-25,40
2017-09-24,63
2017-09-23,18
2017-09-22,58
2017-09-21,16
2017-09-20,36
2017-09-19,73
2017-09-18,92
2017-09-17,40
2017-09-16,91
2017-09-15,85
2017-09-14,20
2017-09-13,16
2017-09-12,42
2017-09-11,89
2017-09-10,76
2017-09-09,66
2017-09-08,54
2017-09-07,49
2017-09-06,77
2017-09-05,54
2017-09-04,52
2017-09-03,17
2017-09-02,84
2017-09-01,23
2017-08-31,38
2017-08-30,40
2017-08-29,34
2017-08-28,6
2017-08-26,73
2017-08-25,24
2017-08-24,40
2017-08-22,96
2017-08-21,61
2017-08-20,50
2017-08-19,18
2017-08-18,56
2017-08-17,27
2017-08-15,42
2017-08-14,54
2017-08-13,43
2017-08-12,31
2017-08-11,77
2017-08-10,56
2017-08-09,85
2017-08-08,80
2017-08-07,48
2017-08-06,31
2017-08-05,10
2017-08-04,28
2017-08-03,79
2017-08-02,86
2017-08-01,44
2017-07-31,31
2017-07-28,86
2017-07-27,57
2017-07-26,33
2017-07-25,29
2017-07-24,15
2017-07-23,88
2017-07-22,34
2017-07-21,59
2017-07-20,66
2017-07-19,33
2017-07-18,37
2017-07-17,23
2017-07-16,84
2017-07-15,93
2017-07-14,50
2017-07-13,55
2017-07-12,78
2017-07-11,68
2017-07-10,24
2017-07-09,75
2017-07-08,25
2017-07-07,19
2017-07-06,92
2017-07-05,0
2017-07-04,22
2017-07-03,38
2017-07-01,53
2017-06-30,93
2017-06-29,69
2017-06-28,49
2017-06-27,60
2017-06-26,76
2017-06-25,72
2017-06-24,61
2017-06-23,91
2017-06-22,43
2017-06-21,19
2017-06-20,74
2017-06-19,75
2017-06-18,47
2017-06-17,31
2017-06-16,55
2017-06-15,57
2017-06-14,72
2017-06-13,80
2017-06-12,14
2017-06-11,53
2017-06-10,32
2017-06-09,16
2017-06-08,32
2017-06-07,97
2017-06-06,6
2017-06-05,48
2017-06-04,94
2017-06-03,90
2017-06-02,86
2017-06-01,49
2017-05-31,17
2017-05-30,68
2017-05-29,72
2017-05-28,37
2017-05-26,78
2017-05-25,62
2017-05-24,66
2017-05-23,68
2017-05-22,48
2017-05-21,92
2017-05-20,10
2017-05-19,45
2017-05-18,14
2017-05-17,42
2017-05-16,76
2017-05-15,50
2017-05-14,72
2017-05-13,92
2017-05-12,60
2017-05-11,91
2017-05-10,54
2017-05-09,33
2017-05-08,46
2017-05-07,64
2017-05-06,22
2017-05-05,55
2017-05-04,45
2017-05-03,3
2017-05-02,41
2017-05-01,53
2017-04-30,99
2017-04-29,66
2017-04-28,83
2017-04-27,1
2017-04-26,29
2017-04-25,51
2017-04-24,57
2017-04-23,0
2017-04-22,3
2017-04-21,82
2017-04-20,93
2017-04-19,1
2017-04-18,54
2017-04-17,34
2017-04-16,3
2017-04-15,52
2017-04-14,31
2017-04-12,87
2017-04-11,10
2017-04-10,1
2017-04-09,49
2017-04-07,12
2017-04-06,60
2017-04-05,8
2017-04-04,13
2017-04-03,64
2017-04-02,79
2017-04-01,99
2017-03-31,87
2017-03-30,17
2017-03-29,75
2017-03-28,74
2017-03-27,15
2017-03-26,35
2017-03-25,1
2017-03-24,20
2017-03-23,96
2017-03-22,39
2017-03-20,4
2017-03-19,84
2017-03-18,59
2017-03-17,20
2017-03-15,76
2017-03-14,60
2017-03-12,13
2017-03-11,70
2017-03-10,44
2017-03-09,56
2017-03-08,90
2017-03-07,98
2017-03-06,69
2017-03-05,19
2017-03-04,1
2017-03-03,78
2017-03-02,7
2017-03-01,28
2017-02-28,71
2017-02-27,42
2017-02-26,72
2017-02-25,46
2017-02-24,48
2017-02-23,42
2017-02-22,61
2017-02-21,6
2017-02-20,41
2017-02-19,7
2017-02-18,35
2017-02-16,22
2017-02-15,65
2017-02-13,44
2017-02-12,5
2017-02-11,66
2017-02-10,99
2017-02-09,69
2017-02-08,44
2017-02-07,49
2017-02-06,10
2017-02-05,18
2017-02-04,97
2017-02-03,16
2017-02-02,11
2017-02-01,36
2017-01-31,21
2017-01-30,33
2017-01-29,58
2017-01-28,67
2017-01-27,61
2017-01-26,66
2017-01-25,34
2017-01-24,68
2017-01-23,56
2017-01-22,26
2017-01-21,90
2017-01-20,29
2017-01-19,84
2017-01-18,86
2017-01-17,11
2017-01-15,73
2017-01-14,7
2017-01-13,80
2017-01-12,31
2017-01-11,42
2017-01-10,14
2017-01-09,33
2017-01-08,79
2017-01-07,5
2017-01-06,70
2017-01-05,20
2017-01-04,91
2017-01-03,75
2017-01-02,72
2016-12-31,53
2016-12-30,61
2016-12-29,80
2016-12-28,78
2016-12-27,30
2016-12-26,16
2016-12-25,85
2016-12-24,30
2016-12-23,27
2016-12-22,93
2016-12-21,48
2016-12-20,25
2016-12-19,54
2016-12-18,24
2016-12-16,3
2016-12-15,53
2016-12-14,79
2016-12-13,1
2016-12-11,62
