"bucket","m_date","location_path","count"
5,"1,514,332,800",http://10.88.113.60/,108
5,"1,514,332,800",http://10.88.113.60/login,9
5,"1,514,332,800",http://10.88.113.60/movies/tt0009130,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0022964,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0032730,11
5,"1,514,332,800",http://10.88.113.60/movies/tt0046428,13
5,"1,514,332,800",http://10.88.113.60/movies/tt0061237,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0074193,3
5,"1,514,332,800",http://10.88.113.60/movies/tt0088587,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0103421,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0105748,4
5,"1,514,332,800",http://10.88.113.60/movies/tt0106981,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0110854,4
5,"1,514,332,800",http://10.88.113.60/movies/tt0125868,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0138230,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0167018,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0182647,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0187086,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0211845,5
5,"1,514,332,800",http://10.88.113.60/movies/tt0212693,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0230182,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0247827,3
5,"1,514,332,800",http://10.88.113.60/movies/tt0278238,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0281494,14
5,"1,514,332,800",http://10.88.113.60/movies/tt0295630,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0301146,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0324681,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0361243,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0373870,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0379563,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0380400,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0390733,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0469229,2
5,"1,514,332,800",http://10.88.113.60/movies/tt0667623,1
5,"1,514,332,800",http://10.88.113.60/movies/tt0843239,1
5,"1,514,332,800",http://10.88.113.60/movies/tt1014671,1
5,"1,514,332,800",http://10.88.113.60/movies/tt1200756,4
5,"1,514,332,800",http://10.88.113.60/movies/tt1275297,1
5,"1,514,332,800",http://10.88.113.60/movies/tt1467397,1
5,"1,514,332,800",http://10.88.113.60/movies/tt1529721,7
5,"1,514,332,800",http://10.88.113.60/movies/tt1587216,4
5,"1,514,332,800",http://10.88.113.60/movies/tt1866931,1
5,"1,514,332,800",http://10.88.113.60/movies/tt1975830,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2013538,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2065460,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2073658,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2103245,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2197797,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2197817,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2201836,3
5,"1,514,332,800",http://10.88.113.60/movies/tt2270892,2
5,"1,514,332,800",http://10.88.113.60/movies/tt2337850,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2367277,3
5,"1,514,332,800",http://10.88.113.60/movies/tt2375860,2
5,"1,514,332,800",http://10.88.113.60/movies/tt2377452,3
5,"1,514,332,800",http://10.88.113.60/movies/tt2527336,6
5,"1,514,332,800",http://10.88.113.60/movies/tt2535834,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2552218,2
5,"1,514,332,800",http://10.88.113.60/movies/tt2771200,1
5,"1,514,332,800",http://10.88.113.60/movies/tt2834032,1
5,"1,514,332,800",http://10.88.113.60/movies/tt3018336,3
5,"1,514,332,800",http://10.88.113.60/movies/tt3095308,1
5,"1,514,332,800",http://10.88.113.60/movies/tt3170894,1
5,"1,514,332,800",http://10.88.113.60/movies/tt3241218,1
5,"1,514,332,800",http://10.88.113.60/movies/tt3402236,1
5,"1,514,332,800",http://10.88.113.60/movies/tt3563898,3
5,"1,514,332,800",http://10.88.113.60/movies/tt3728268,3
5,"1,514,332,800",http://10.88.113.60/movies/tt3883968,1
5,"1,514,332,800",http://10.88.113.60/movies/tt3967976,2
5,"1,514,332,800",http://10.88.113.60/movies/tt4621002,1
5,"1,514,332,800",http://10.88.113.60/movies/tt4635282,1
5,"1,514,332,800",http://10.88.113.60/movies/tt4948838,1
5,"1,514,332,800",http://10.88.113.60/movies/tt4958580,1
5,"1,514,332,800",http://10.88.113.60/movies/tt5075942,1
5,"1,514,332,800",http://10.88.113.60/movies/tt5140952,1
5,"1,514,332,800",http://10.88.113.60/movies/tt5337480,1
5,"1,514,332,800",http://10.88.113.60/movies/tt5531470,1
5,"1,514,332,800",http://10.88.113.60/movies/tt5901752,1
5,"1,514,332,800",http://10.88.113.60/movies/tt6273116,6
5,"1,514,332,800",http://10.88.113.60/movies/tt6362818,2
5,"1,514,332,800",http://10.88.113.60/movies/tt7222086,1
5,"1,514,332,800",http://10.88.113.74/,7
5,"1,514,332,800",http://10.88.113.74/login,3
5,"1,514,332,800",http://10.88.113.74/movies/tt0049265,1
5,"1,514,332,800",http://10.88.113.74/movies/tt0051736,2
5,"1,514,332,800",http://10.88.113.74/movies/tt0052257,4
5,"1,514,332,800",http://10.88.113.74/movies/tt0055781,5
5,"1,514,332,800",http://10.88.113.74/movies/tt0074193,1
5,"1,514,332,800",http://10.88.113.74/movies/tt2771200,10
5,"1,514,332,800",http://10.88.113.74/register,4
